idx,EMissionProcess,,popupText,popupDelay
1,,,,
2,MISSION_START,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,MIC_SWITCH_ON,,"1. 사전 준비: 복장준비 및 사전점검

파일럿들은 머리에 피가 잘 공급되도록 G슈트를 착용합니다. G슈트가 없다면 비행중 의식을 잃을 수 있어요.

""비행 준비 과정중의 사소한 실수조차 큰 사고로 이어질 수 있습니다. 항상 주의하세요. 준비되셨나요? 이제 직접 시동을 걸어보세요""",555
8,ENGINE_GEN_SWITCH_ON,,,
9,ENGINE_CONTROL_SWITCH_ON,,,
10,ENGINE_MASTER_SWITCH_ON,,,
11,JFS_STARTER_SWITCH_ON,,,
12,JFS_HANDLE_PULL,,,
13,ENGINE_THROTTLE_IDLE,,,
14,CLOSE_CANOPY,,,
15,,,,
16,STANDBY_OTHER_PLAYER,,"2. 이륙 전: 점검
파일럿은 안전한 비행을 위해 계기판과 레버 등을 최적의 상태로 맞춥니다.

""이륙 절차를 수행할 때의 파일럿들은 바람, 속도, 활주로 상태를 고려해야 하는 어려움이 있습니다. 준비되셨나요? 리더는 Alpha1, 윙맨은 Alpha2로 불립니다. 000에 자신의 포지션을 넣어 외쳐보세요!""",555
17,RELEASE_SIDE_BREAK,,,
18,THROTTLE_START,,,
19,,,,
20,,,,
21,TAKE_OFF,,,
22,TAKE_OFF_END,,"3. 이륙 직후: 편대
파일럿들은 사선 편대 대형으로 비행하며 리더와 윙맨 역할을 수행합니다. 리더는 Alpha1, 윙맨은 Alpha2로 불리며 서로 간격을 유지합니다.

""편대 비행을 할 때에는 정확한 거리와 대형을 유지해야합니다. 이를 위해 파일럿들은 충분한 훈련이 필요합니다. 지금부터 여러분도 함께 비행하며 팀워크를 체험해보세요!""",555
23,FLIGHT_START,,,
24,FORMATION_FLIGHT_START,,,
25,,,,
26,,,,
27,FORMATION_FLIGHT_END,,,
28,NEUT_TARGET_START,,,
29,NEUT_TARGET_2_END,,,
30,NEUT_TARGET_3_START,,,
31,,,,
32,NEUT_TARGET_3_END,,,
33,LOCK_ON,,,
34,MISSILE_LAUNCH,,,
35,,,,
36,NEUT_TARGET_END,,,
